,YEAR,AUTHOR_1,AUTHOR_2,AUTHOR_3,URL_1,URL_2,URL_3
70,1954,Linus Pauling,,,/wiki/Linus_Pauling,,
71,1953,Hermann Staudinger,,,/wiki/Hermann_Staudinger,,
72,1952,Archer Martin,Richard Laurence Millington Synge,,/wiki/Archer_Martin,/wiki/Richard_Laurence_Millington_Synge,
73,1951,Edwin McMillan,Glenn T. Seaborg,,/wiki/Edwin_McMillan,/wiki/Glenn_T._Seaborg,
74,1950,Otto Diels,Kurt Alder,,/wiki/Otto_Diels,/wiki/Kurt_Alder,
75,1949,William Giauque,,,/wiki/William_Giauque,,
76,1948,Arne Tiselius,,,/wiki/Arne_Tiselius,,
77,1947,Robert Robinson,,,/wiki/Robert_Robinson_(organic_chemist),,
78,1946,James B. Sumner,John Howard Northrop,Wendell Meredith Stanley,/wiki/James_B._Sumner,/wiki/John_Howard_Northrop,/wiki/Wendell_Meredith_Stanley
79,1945,Artturi Ilmari Virtanen,,,/wiki/Artturi_Ilmari_Virtanen,,
80,1944,Otto Hahn,,,/wiki/Otto_Hahn,,
81,1943,George de Hevesy,,,/wiki/George_de_Hevesy,,
82,1942,No Record,,,No Record,,
83,1941,No Record,,,No Record,,
84,1940,No Record,,,No Record,,
85,1939,Adolf Butenandt,,,/wiki/Adolf_Butenandt,#cite_note-A-15,/wiki/Leopold_Ru%C5%BEi%C4%8Dka
86,1938,Richard Kuhn,,,/wiki/Richard_Kuhn,#cite_note-A-15,
87,1937,Norman Haworth,Paul Karrer,,/wiki/Norman_Haworth,/wiki/Paul_Karrer,
88,1936,Peter Debye,,,/wiki/Peter_Debye,,
89,1935,Frédéric Joliot-Curie,Irène Joliot-Curie,,/wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie,/wiki/Ir%C3%A8ne_Joliot-Curie,
90,1934,/wiki/Harold_Urey,,,George Whipple,George Minot,William P. Murphy
91,1933,,,,Thomas Hunt Morgan,,
92,1932,Irving Langmuir,,,/wiki/Irving_Langmuir,,
93,1931,/wiki/Carl_Bosch,/wiki/Friedrich_Bergius,,Otto Heinrich Warburg,,
94,1930,Hans Fischer,,,/wiki/Hans_Fischer,,
95,1929,Arthur Harden,Hans von Euler-Chelpin,,/wiki/Arthur_Harden,/wiki/Hans_von_Euler-Chelpin,
96,1928,Adolf Windaus,,,/wiki/Adolf_Windaus,,
97,1927,Heinrich Otto Wieland,,,/wiki/Heinrich_Otto_Wieland,,
98,1926,Theodor Svedberg,,,/wiki/Theodor_Svedberg,,
99,1925,Richard Adolf Zsigmondy,,,/wiki/Richard_Adolf_Zsigmondy,,
100,1924,,,,Willem Einthoven,,
101,1923,Fritz Pregl,,,/wiki/Fritz_Pregl,,
102,1922,Francis William Aston,,,/wiki/Francis_William_Aston,,
103,1921,Frederick Soddy,,,/wiki/Frederick_Soddy,,
104,1920,Walther Nernst,,,/wiki/Walther_Nernst,,
105,1919,,,,Jules Bordet,,
106,1918,Fritz Haber,,,/wiki/Fritz_Haber,,
107,1917,,,,,,
108,1916,,,,Verner von Heidenstam,,
109,1915,Richard Willstätter,,,/wiki/Richard_Willst%C3%A4tter,,
110,1914,Theodore William Richards,,,/wiki/Theodore_William_Richards,,
111,1913,Alfred Werner,,,/wiki/Alfred_Werner,,
112,1912,Victor Grignard,Paul Sabatier,,/wiki/Victor_Grignard,/wiki/Paul_Sabatier_(chemist),
113,1911,Marie Curie,,,/wiki/Marie_Curie,,
114,1910,Otto Wallach,,,/wiki/Otto_Wallach,,
115,1909,Wilhelm Ostwald,,,/wiki/Wilhelm_Ostwald,,
116,1908,Ernest Rutherford,,,/wiki/Ernest_Rutherford,,
117,1907,Eduard Buchner,,,/wiki/Eduard_Buchner,,
118,1906,Henri Moissan,,,/wiki/Henri_Moissan,,
119,1905,Adolf von Baeyer,,,/wiki/Adolf_von_Baeyer,,
120,1904,William Ramsay,,,/wiki/William_Ramsay,,
121,1903,Svante Arrhenius,,,/wiki/Svante_Arrhenius,,
122,1902,Emil Fischer,,,/wiki/Emil_Fischer,,
123,1901,Jacobus Henricus van 't Hoff,,,/wiki/Jacobus_Henricus_van_%27t_Hoff,,
