YEAR,AUTHOR_1,AUTHOR_2,AUTHOR_3,URL_1,URL_2,URL_3
1934,No Record,No Record,No Record,No Record,No Record,No Record
1933,Erwin Schrödinger,Paul Dirac,No Record,/wiki/Erwin_Schr%C3%B6dinger,/wiki/Paul_Dirac,No Record
1932,Werner Heisenberg,No Record,No Record,/wiki/Werner_Heisenberg,No Record,No Record
1931,No Record,No Record,No Record,No Record,No Record,No Record
1930,C. V. Raman,No Record,No Record,/wiki/C._V._Raman,No Record,No Record
1929,Louis de Broglie,No Record,No Record,/wiki/Louis_de_Broglie,No Record,No Record
1928,Owen Willans Richardson,No Record,No Record,/wiki/Owen_Willans_Richardson,No Record,No Record
1927,Arthur Compton,Charles Thomson Rees Wilson,No Record,/wiki/Arthur_Compton,/wiki/Charles_Thomson_Rees_Wilson,No Record
1926,Jean Baptiste Perrin,No Record,No Record,/wiki/Jean_Baptiste_Perrin,No Record,No Record
1925,James Franck,Gustav Ludwig Hertz,No Record,/wiki/James_Franck,/wiki/Gustav_Ludwig_Hertz,No Record
1924,Manne Siegbahn,No Record,No Record,/wiki/Manne_Siegbahn,No Record,No Record
1923,Robert Andrews Millikan,No Record,No Record,/wiki/Robert_Andrews_Millikan,No Record,No Record
1922,Niels Bohr,No Record,No Record,/wiki/Niels_Bohr,No Record,No Record
1921,Albert Einstein,No Record,No Record,/wiki/Albert_Einstein,No Record,No Record
1920,Charles Édouard Guillaume,No Record,No Record,/wiki/Charles_%C3%89douard_Guillaume,No Record,No Record
1919,Johannes Stark,No Record,No Record,/wiki/Johannes_Stark,No Record,No Record
1918,Max Planck,No Record,No Record,/wiki/Max_Planck,No Record,No Record
1917,Charles Glover Barkla,No Record,No Record,/wiki/Charles_Glover_Barkla,No Record,No Record
1916,No Record,No Record,No Record,No Record,No Record,No Record
1915,William Henry Bragg,Lawrence Bragg,No Record,/wiki/William_Henry_Bragg,/wiki/Lawrence_Bragg,No Record
1914,Max von Laue,No Record,No Record,/wiki/Max_von_Laue,No Record,No Record
1913,Heike Kamerlingh Onnes,No Record,No Record,/wiki/Heike_Kamerlingh_Onnes,No Record,No Record
1912,Gustaf Dalén,No Record,No Record,/wiki/Gustaf_Dal%C3%A9n,No Record,No Record
1911,Wilhelm Wien,No Record,No Record,/wiki/Wilhelm_Wien,No Record,No Record
1910,Johannes Diderik van der Waals,No Record,No Record,/wiki/Johannes_Diderik_van_der_Waals,No Record,No Record
1909,Karl Ferdinand Braun,Guglielmo Marconi,No Record,/wiki/Karl_Ferdinand_Braun,/wiki/Guglielmo_Marconi,No Record
1908,Gabriel Lippmann,No Record,No Record,/wiki/Gabriel_Lippmann,No Record,No Record
1907,Albert A. Michelson,No Record,No Record,/wiki/Albert_A._Michelson,No Record,No Record
1906,J. J. Thomson,No Record,No Record,/wiki/J._J._Thomson,No Record,No Record
1905,Philipp Lenard,No Record,No Record,/wiki/Philipp_Lenard,No Record,No Record
1904,Lord Rayleigh,No Record,No Record,"/wiki/John_Strutt,_3rd_Baron_Rayleigh",No Record,No Record
1903,Henri Becquerel,Pierre Curie,Marie Curie,/wiki/Henri_Becquerel,/wiki/Pierre_Curie,/wiki/Marie_Curie
1902,Hendrik Lorentz,Pieter Zeeman,No Record,/wiki/Hendrik_Lorentz,/wiki/Pieter_Zeeman,No Record
1901,Wilhelm Röntgen,No Record,No Record,/wiki/Wilhelm_R%C3%B6ntgen,No Record,No Record
