,YEAR,AUTHOR_1,AUTHOR_2,AUTHOR_3,URL_1,URL_2,URL_3
111,1913,Henri La Fontaine,,,/wiki/Henri_La_Fontaine,,
112,1912,Elihu Root,,,/wiki/Elihu_Root,,
113,1911,Tobias Asser,Alfred Hermann Fried,,/wiki/Tobias_Asser,/wiki/Alfred_Hermann_Fried,
114,1910,International Peace Bureau,,,/wiki/International_Peace_Bureau,,
115,1909,Auguste Beernaert,Paul Henri Balluet d'Estournelles de Constant,,/wiki/Auguste_Beernaert,/wiki/Paul_Henri_Balluet_d%27Estournelles_de_Constant,
116,1908,Klas Pontus Arnoldson,Fredrik Bajer,,/wiki/Klas_Pontus_Arnoldson,/wiki/Fredrik_Bajer,
117,1907,Ernesto Teodoro Moneta,Louis Renault,,/wiki/Ernesto_Teodoro_Moneta,/wiki/Louis_Renault_(jurist),
118,1906,Theodore Roosevelt,,,/wiki/Theodore_Roosevelt,,
119,1905,Bertha von Suttner,,,/wiki/Bertha_von_Suttner,,
120,1904,Institut de Droit International,,,/wiki/Institut_de_Droit_International,,
121,1903,Randal Cremer,,,/wiki/Randal_Cremer,,
122,1902,Élie Ducommun,Charles Albert Gobat,,/wiki/%C3%89lie_Ducommun,/wiki/Charles_Albert_Gobat,
123,1901,Henry Dunant,Frédéric Passy,,/wiki/Henry_Dunant,/wiki/Fr%C3%A9d%C3%A9ric_Passy,
