,YEAR,LAUREATE,NAME_ORDER,URL,FIELD,place of birth,born,place of death,age at death,died,other awards,nationality,alma mater
191,1937,Paul Karrer,2,/wiki/Paul_Karrer,Chemistry,Russia,1889-04-21,Switzerland,82,1971-06-18,1.0,Swiss,
192,1937,Roger Martin du Gard,1,/wiki/Roger_Martin_du_Gard,Literature,France,1881-03-23,France,77,1958-08-22,0.0,,
193,1937,Albert Szent-Györgyi,1,/wiki/Albert_Szent-Gy%C3%B6rgyi,Medicine,Austria-Hungary,1893-09-16,U.S.,93,1986-10-22,2.0,,
194,1937,"Robert Cecil, 1st Viscount Cecil of Chelwood",1,"/wiki/Robert_Cecil,_1st_Viscount_Cecil_of_Chelwood",Peace,England,1864-09-14,England,94,1958-11-24,0.0,,
195,1937,Clinton Davisson,1,/wiki/Clinton_Davisson,Physics,USA,1881-10-22,USA,76,1958-02-01,3.0,American,
196,1937,George Paget Thomson,2,/wiki/George_Paget_Thomson,Physics,England,1892-05-03,Cambridge England,83,1975-09-10,4.0,,
197,1938,Richard Kuhn,1,/wiki/Richard_Kuhn,Chemistry,Austria-Hungary,1900-12-03,West Germany,66,1967-07-31,4.0,"Germany, Austria",
198,1938,Pearl S. Buck,1,/wiki/Pearl_S._Buck,Literature,U.S.,1892-06-26,U.S.,80,1973-03-06,1.0,,
199,1938,Corneille Heymans,1,/wiki/Corneille_Heymans,Medicine,Belgium,1892-03-28,Belgium,76,1968-07-18,0.0,Belgian,
200,1938,Nansen International Office for Refugees,1,/wiki/Nansen_International_Office_for_Refugees,Peace,,,,,,,,
201,1938,Enrico Fermi,1,/wiki/Enrico_Fermi,Physics,Kingdom of Italy,1901-09-29,U.S.,53,1954-11-28,7.0,,
202,1939,Adolf Butenandt,1,/wiki/Adolf_Butenandt,Chemistry,Germany),1903-03-24,Germany,91,1995-01-18,1.0,German,
203,1939,,2,#cite_note-A-15,Chemistry,,,,,,,,
204,1939,Frans Eemil Sillanpää,1,/wiki/Frans_Eemil_Sillanp%C3%A4%C3%A4,Literature,Finland,1888-09-16,Finland,75,1964-06-03,0.0,,
205,1939,Gerhard Domagk,1,/wiki/Gerhard_Domagk,Medicine,Poland,1895-10-30,West Germany,68,1964-04-24,3.0,German,
206,1939,Ernest Lawrence,1,/wiki/Ernest_Lawrence,Physics,U.S.,1901-08-08,U.S.,57,1958-08-27,13.0,,
207,1940,Cancelled due to World War II,1,No Record,Physics,,,,,,,,
208,1943,George de Hevesy,1,/wiki/George_de_Hevesy,Chemistry,Kingdom of Hungary,1885-08-01,West Germany,80,1966-07-05,3.0,,
209,1943,Henrik Dam,1,/wiki/Henrik_Dam,Medicine,Denmark,1895-02-21,Copenhagen Denmark,81,1976-04-17,0.0,,
210,1943,Edward Adelbert Doisy,2,/wiki/Edward_Adelbert_Doisy,Medicine,U.S.,1893-11-13,U.S.,92,1986-10-23,1.0,,
211,1943,Otto Stern,1,/wiki/Otto_Stern,Physics,German Empire,1888-02-17,U.S.,81,1969-08-17,0.0,,
212,1944,Otto Hahn,1,/wiki/Otto_Hahn,Chemistry,German Empire,1879-03-08,West Germany,89,1968-07-28,6.0,,
213,1944,Johannes V. Jensen,1,/wiki/Johannes_V._Jensen,Literature,Denmark,1873-01-20,Denmark,77,1950-11-25,0.0,,
214,1944,Joseph Erlanger,1,/wiki/Joseph_Erlanger,Medicine,U.S.,1874-01-05,U.S.,91,1965-12-05,0.0,,
215,1944,Herbert Spencer Gasser,2,/wiki/Herbert_Spencer_Gasser,Medicine,U.S.,1888-07-05,New York City U.S.,74,1963-05-11,1.0,,
216,1944,International Committee of the Red Cross,1,/wiki/International_Committee_of_the_Red_Cross,Peace,,,,,,,,
217,1944,Isidor Isaac Rabi,1,/wiki/Isidor_Isaac_Rabi,Physics,Austria-Hungary,1898-07-29,U.S.,89,1988-01-11,8.0,,
218,1945,Artturi Ilmari Virtanen,1,/wiki/Artturi_Ilmari_Virtanen,Chemistry,Russian Empire,1895-01-15,Helsinki Finland,78,1973-11-11,0.0,Finnish,
219,1945,Gabriela Mistral,1,/wiki/Gabriela_Mistral,Literature,Vicuña Chile,1889-04-07,Hempstead New York,67,1957-01-10,0.0,Chilean,
220,1945,Alexander Fleming,1,/wiki/Alexander_Fleming,Medicine,Ayrshire Scotland,1881-08-06,London England,73,1955-03-11,2.0,,
221,1945,Ernst Chain,2,/wiki/Ernst_Chain,Medicine,German Empire,1906-06-19,Ireland,73,1979-08-12,3.0,,
222,1945,Howard Florey,3,/wiki/Howard_Florey,Medicine,South Australia,1898-09-24,England,69,1968-02-21,8.0,,
223,1945,Cordell Hull,1,/wiki/Cordell_Hull,Peace,U.S.,1871-10-02,U.S.,83,1955-07-23,0.0,,
224,1945,Wolfgang Pauli,1,/wiki/Wolfgang_Pauli,Physics,Austria-Hungary,1900-04-25,Switzerland,58,1958-12-15,4.0,,
225,1946,James B. Sumner,1,/wiki/James_B._Sumner,Chemistry,USA,1887-11-19,USA,67,1955-08-12,0.0,American,
226,1946,John Howard Northrop,2,/wiki/John_Howard_Northrop,Chemistry,U.S.,1891-07-05,U.S.,95,1987-05-27,1.0,,
227,1946,Wendell Meredith Stanley,3,/wiki/Wendell_Meredith_Stanley,Chemistry,USA,1904-08-16,Spain,66,1971-06-15,5.0,American,
228,1946,Hermann Hesse,1,/wiki/Hermann_Hesse,Literature,German Empire,1877-07-02,Ticino Switzerland,85,1962-08-09,4.0,,
229,1946,Hermann Joseph Muller,1,/wiki/Hermann_Joseph_Muller,Medicine,New York City U.S.,1890-12-21,Indiana U.S.,76,1967-04-05,5.0,,
230,1946,Emily Greene Balch,1,/wiki/Emily_Greene_Balch,Peace,Massachusetts U.S.,1867-01-08,Massachusetts U.S.,94,1961-01-09,,,
231,1946,John Mott,2,/wiki/John_Mott,Peace,U.S.,1865-05-25,U.S.,89,1955-01-31,0.0,,
232,1946,Percy Williams Bridgman,1,/wiki/Percy_Williams_Bridgman,Physics,U.S.,1882-04-21,U.S.,79,1961-08-20,5.0,,
233,1947,Robert Robinson,1,/wiki/Robert_Robinson_(organic_chemist),Chemistry,England,1886-09-13,Buckinghamshire England,88,1975-02-08,7.0,,
234,1947,André Gide,1,/wiki/Andr%C3%A9_Gide,Literature,Paris France,1869-11-22,Paris France,81,1951-02-19,0.0,,
235,1947,Carl Ferdinand Cori,1,/wiki/Carl_Ferdinand_Cori,Medicine,Austria-Hungary,1896-12-05,U.S.,87,1984-10-20,2.0,Austrian-Hungarian,
236,1947,Gerty Cori,2,/wiki/Gerty_Cori,Medicine,Austria-Hungary,1896-08-15,US,61,1957-10-26,1.0,,
237,1947,Bernardo Houssay,3,/wiki/Bernardo_Houssay,Medicine,Argentina,1887-04-10,Buenos Aires Argentina,84,1971-09-21,1.0,,
238,1947,Friends Service Council,1,/wiki/Quaker_Peace_and_Social_Witness,Peace,,,,,,,,
239,1947,American Friends Service Committee,2,/wiki/American_Friends_Service_Committee,Peace,,,,,,,,
240,1947,Edward Victor Appleton,1,/wiki/Edward_Victor_Appleton,Physics,England,1892-09-06,Scotland,72,1965-04-21,7.0,,
241,1948,Arne Tiselius,1,/wiki/Arne_Tiselius,Chemistry,Sweden,1902-08-10,Sweden,69,1971-10-29,3.0,,
242,1948,T. S. Eliot,1,/wiki/T._S._Eliot,Literature,Missouri U.S.,1888-09-26,England,76,1965-01-04,1.0,,
243,1948,Paul Hermann Müller,1,/wiki/Paul_Hermann_M%C3%BCller,Medicine,Switzerland,1899-01-12,Switzerland,66,1965-10-13,0.0,,
244,1948,Patrick Blackett,1,/wiki/Patrick_Blackett,Physics,England,1897-11-18,London England,76,1974-07-13,4.0,,
245,1949,William Giauque,1,/wiki/William_Giauque,Chemistry,Canada,1895-05-12,California US,86,1982-03-28,2.0,American,
246,1949,William Faulkner,1,/wiki/William_Faulkner,Literature,U.S.,1897-09-25,U.S.,64,1962-07-06,2.0,,
247,1949,Walter Rudolf Hess,1,/wiki/Walter_Rudolf_Hess,Medicine,Thurgau Switzerland,1881-03-17,Ticino Switzerland,92,1973-08-12,1.0,,
248,1949,António Egas Moniz,2,/wiki/Ant%C3%B3nio_Egas_Moniz,Medicine,Estarreja Portugal,1874-11-29,Portugal,81,1955-12-13,0.0,,
249,1949,John Boyd Orr,1,/wiki/John_Boyd_Orr,Peace,East Ayrshire Scotland,1880-09-23,Angus Scotland,90,1971-06-25,4.0,,
250,1949,Hideki Yukawa,1,/wiki/Hideki_Yukawa,Physics,Empire of Japan,1907-01-23,Japan,74,1981-09-08,3.0,,
251,1950,Otto Diels,1,/wiki/Otto_Diels,Chemistry,German Empire,1876-01-23,West Germany,78,1954-03-07,0.0,German,
252,1950,Kurt Alder,2,/wiki/Kurt_Alder,Chemistry,German Empire,1902-07-10,West Germany,55,1958-06-20,0.0,German,
253,1950,Bertrand Russell,1,/wiki/Bertrand_Russell,Literature,Monmouthshire,1872-05-18,Merionethshire Wales,97,1970-02-02,4.0,,
254,1950,Philip Showalter Hench,1,/wiki/Philip_Showalter_Hench,Medicine,USA,1896-02-28,Jamaica,69,1965-03-30,0.0,American,
255,1950,Edward Calvin Kendall,2,/wiki/Edward_Calvin_Kendall,Medicine,United States,1886-03-08,United States,86,1972-05-04,3.0,American,
256,1950,Tadeus Reichstein,3,/wiki/Tadeus_Reichstein,Medicine,Russian Empire,1897-07-20,Switzerland,99,1996-08-01,4.0,"Polish, Swiss",
257,1950,Ralph Bunche,1,/wiki/Ralph_Bunche,Peace,U.S.,1904-08-07,U.S.,67,1971-12-09,,,
258,1950,C. F. Powell,1,/wiki/C._F._Powell,Physics,England,1903-12-05,Italy,65,1969-08-09,3.0,,
259,1951,Edwin McMillan,1,/wiki/Edwin_McMillan,Chemistry,U.S.,1907-09-18,U.S.,83,1991-09-07,2.0,,
260,1951,Glenn T. Seaborg,2,/wiki/Glenn_T._Seaborg,Chemistry,US,1912-04-19,US,86,1999-02-25,11.0,,
261,1951,Pär Lagerkvist,1,/wiki/P%C3%A4r_Lagerkvist,Literature,Sweden,1891-05-23,Sweden,83,1974-07-11,0.0,,
262,1951,Max Theiler,1,/wiki/Max_Theiler,Medicine,South Africa,1899-01-30,U.S.,73,1972-08-11,2.0,"South Africa, American",
263,1951,Léon Jouhaux,1,/wiki/L%C3%A9on_Jouhaux,Peace,France,1879-07-01,France,74,1954-04-28,0.0,,
264,1951,John Cockcroft,1,/wiki/John_Cockcroft,Physics,England,1897-05-27,England,70,1967-09-18,6.0,,
265,1951,Ernest Walton,2,/wiki/Ernest_Walton,Physics,Ireland,1903-10-06,Northern Ireland,91,1995-06-25,2.0,,
266,1952,Archer Martin,1,/wiki/Archer_Martin,Chemistry,England,1910-03-01,England,92,2002-07-28,3.0,,
267,1952,Richard Laurence Millington Synge,2,/wiki/Richard_Laurence_Millington_Synge,Chemistry,England,1914-10-28,England,79,1994-08-18,2.0,,
268,1952,François Mauriac,1,/wiki/Fran%C3%A7ois_Mauriac,Literature,France,1885-10-11,France,84,1970-09-01,1.0,,
269,1952,Selman Waksman,1,/wiki/Selman_Waksman,Medicine,Ukraine,1888-07-22,US,85,1973-08-16,2.0,,
270,1952,Albert Schweitzer,1,/wiki/Albert_Schweitzer,Peace,German Empire,1875-01-14,Gabon,90,1965-09-04,2.0,,
271,1952,Felix Bloch,1,/wiki/Felix_Bloch,Physics,Switzerland,1905-10-23,Zürich Switzerland,77,1983-09-10,3.0,Swiss,
272,1952,Edward Mills Purcell,2,/wiki/Edward_Mills_Purcell,Physics,U.S.,1912-08-30,U.S.,84,1997-03-07,4.0,,
273,1953,Hermann Staudinger,1,/wiki/Hermann_Staudinger,Chemistry,German Empire,1881-03-23,West Germany,84,1965-09-08,1.0,,
274,1953,Winston Churchill,1,/wiki/Winston_Churchill,Literature,England,1874-11-30,London England,90,1965-01-24,,,
275,1953,Hans Adolf Krebs,1,/wiki/Hans_Adolf_Krebs,Medicine,German Empire,1900-08-25,United Kingdom,81,1981-11-22,3.0,,
276,1953,Fritz Albert Lipmann,2,/wiki/Fritz_Albert_Lipmann,Medicine,Russia),1899-06-12,U.S.,87,1986-07-24,1.0,German-American,
277,1953,George Marshall,1,/wiki/George_Marshall,Peace,U.S.,1880-12-31,U.S.,78,1959-10-16,,,
278,1953,Frits Zernike,1,/wiki/Frits_Zernike,Physics,Netherlands,1888-07-16,Netherlands,77,1966-03-10,1.0,Dutch,
279,1954,Linus Pauling,1,/wiki/Linus_Pauling,Chemistry,U.S.,1901-02-28,California U.S.,93,1994-08-19,11.0,,
280,1954,Ernest Hemingway,1,/wiki/Ernest_Hemingway,Literature,U.S.,1899-07-21,U.S.,61,1961-07-02,1.0,,
281,1954,John Franklin Enders,1,/wiki/John_Franklin_Enders,Medicine,West Hartford Connecticut,1897-02-10,Waterford Connecticut,88,1985-09-08,2.0,American,
282,1954,Frederick Chapman Robbins,2,/wiki/Frederick_Chapman_Robbins,Medicine,Auburn Alabama,1916-08-25,Ohio,86,2003-08-04,1.0,American,
283,1954,Thomas Huckle Weller,3,/wiki/Thomas_Huckle_Weller,Medicine,Michigan,1915-06-15,Massachusetts,93,2008-08-23,2.0,American,
284,1954,United Nations High Commissioner for Refugees,1,/wiki/United_Nations_High_Commissioner_for_Refugees,Peace,,,,,,,,
285,1954,Max Born,1,/wiki/Max_Born,Physics,German Empire,1882-12-11,West Germany,87,1970-01-05,2.0,,
286,1954,Walther Bothe,2,/wiki/Walther_Bothe,Physics,German Empire,1891-01-08,West Germany,66,1957-02-08,2.0,German,
287,1955,Vincent du Vigneaud,1,/wiki/Vincent_du_Vigneaud,Chemistry,USA,,USA,77,1978-12-11,3.0,,
288,1955,Halldór Laxness,1,/wiki/Halld%C3%B3r_Laxness,Literature,Danish Iceland,1902-04-23,Iceland,95,1998-02-08,0.0,Icelandic,
289,1955,Hugo Theorell,1,/wiki/Hugo_Theorell,Medicine,Sweden,1903-07-06,Sweden,79,1982-08-15,0.0,Swedish,
290,1955,Willis Lamb,1,/wiki/Willis_Lamb,Physics,U.S.,1913-07-12,U.S.,94,2008-05-15,3.0,,
291,1955,Polykarp Kusch,2,/wiki/Polykarp_Kusch,Physics,German Empire,1911-01-26,U.S.,82,1993-03-20,0.0,,
292,1956,Cyril Norman Hinshelwood,1,/wiki/Cyril_Norman_Hinshelwood,Chemistry,London England,1897-06-19,London England,70,1967-10-09,10.0,,
293,1956,Nikolay Semyonov,2,/wiki/Nikolay_Semyonov,Chemistry,Saratov Governorate Russian Empire,,Soviet Union,90,1986-09-25,1.0,,
294,1956,Juan Ramón Jiménez,1,/wiki/Juan_Ram%C3%B3n_Jim%C3%A9nez,Literature,Spain,1881-12-23,Puerto Rico,76,1958-05-29,0.0,Spanish,
295,1956,André Frédéric Cournand,1,/wiki/Andr%C3%A9_Fr%C3%A9d%C3%A9ric_Cournand,Medicine,France,1895-09-24,U.S.,92,1988-02-19,1.0,"France, United States",
296,1956,Werner Forssmann,2,/wiki/Werner_Forssmann,Medicine,German Empire,1904-08-29,West Germany,74,1979-06-01,0.0,German,
297,1956,Dickinson W. Richards,3,/wiki/Dickinson_W._Richards,Medicine,U.S.,1895-10-30,U.S.,77,1973-02-24,0.0,American,
298,1956,John Bardeen,1,/wiki/John_Bardeen,Physics,U.S.,1908-05-23,U.S.,82,1991-01-30,9.0,,
299,1956,Walter Houser Brattain,2,/wiki/Walter_Houser_Brattain,Physics,Qing China,1902-02-10,U.S.,85,1987-10-13,1.0,American,
300,1956,William Shockley,3,/wiki/William_Shockley,Physics,England,1910-02-13,U.S.,79,1989-08-12,7.0,,
301,1957,The Lord Todd,1,/wiki/Alexander_R._Todd,Chemistry,Scotland,1907-10-02,England,89,1997-01-10,6.0,,
302,1957,Albert Camus,1,/wiki/Albert_Camus,Literature,French Algeria,1913-11-07,France,46,1960-01-04,0.0,,
303,1957,Daniel Bovet,1,/wiki/Daniel_Bovet,Medicine,Switzerland,1907-03-23,Italy,85,1992-04-08,1.0,,
304,1957,Lester B. Pearson,1,/wiki/Lester_B._Pearson,Peace,Canada,1897-04-23,Ontario Canada,75,1972-12-27,0.0,,
305,1957,Yang Chen-Ning,1,/wiki/Yang_Chen-Ning,Physics,Republic of China,1922-10-01,,,,12.0,,
306,1957,Tsung-Dao Lee,2,/wiki/Tsung-Dao_Lee,Physics,Republic of China,1926-11-24,U.S.,97,2024-08-04,4.0,,
307,1958,Frederick Sanger,1,/wiki/Frederick_Sanger,Chemistry,Gloucestershire England,1918-08-13,England,95,2013-11-19,5.0,,
308,1958,Boris Pasternak,1,/wiki/Boris_Pasternak,Literature,Russian Empire,,USSR,70,1960-05-30,0.0,,
309,1958,George Beadle,1,/wiki/George_Beadle,Medicine,U.S.,1903-10-22,U.S.,85,1989-06-09,3.0,,
310,1958,Edward Tatum,2,/wiki/Edward_Tatum,Medicine,United States,,United States,65,1975-11-05,0.0,,
311,1958,Joshua Lederberg,3,/wiki/Joshua_Lederberg,Medicine,Montclair New Jersey,1925-05-23,New York City,82,2008-02-02,2.0,,
312,1958,Dominique Pire,1,/wiki/Dominique_Pire,Peace,Belgium,1910-02-10,Belgium,58,1969-01-30,,Belgian,
313,1958,Pavel Cherenkov,1,/wiki/Pavel_Cherenkov,Physics,Russian Empire,1904-07-28,Soviet Union,85,1990-01-06,0.0,Russian,
314,1958,Ilya Frank,2,/wiki/Ilya_Frank,Physics,Russian Empire,1908-10-23,Soviet Union,81,1990-06-22,1.0,,
315,1958,Igor Tamm,3,/wiki/Igor_Tamm,Physics,Russian Empire,1895-07-08,Soviet Union,75,1971-04-12,2.0,Soviet,
316,1959,Jaroslav Heyrovský,1,/wiki/Jaroslav_Heyrovsk%C3%BD,Chemistry,Austria-Hungary,1890-12-20,Czechoslovakia,76,1967-03-27,0.0,,
317,1959,Salvatore Quasimodo,1,/wiki/Salvatore_Quasimodo,Literature,Kingdom of Italy,1901-08-20,Italy,66,1968-06-14,0.0,,
318,1959,Arthur Kornberg,1,/wiki/Arthur_Kornberg,Medicine,New York City U.S.,1918-03-03,California U.S.,89,2007-10-26,3.0,,
319,1959,Severo Ochoa,2,/wiki/Severo_Ochoa,Medicine,Spain,1905-09-24,Spain,88,1993-11-01,2.0,,
320,1959,Philip Noel-Baker,1,/wiki/Philip_Noel-Baker,Peace,London,,London,92,1982-10-08,0.0,,
321,1959,Emilio Segrè,1,/wiki/Emilio_Segr%C3%A8,Physics,Kingdom of Italy,1905-02-01,U.S.,84,1989-04-22,2.0,,
322,1959,Owen Chamberlain,2,/wiki/Owen_Chamberlain,Physics,U.S.,1920-07-10,U.S.,85,2006-02-28,0.0,,
323,1960,Willard Libby,1,/wiki/Willard_Libby,Chemistry,U.S.,1908-12-17,U.S.,71,1980-09-08,5.0,,
324,1960,Saint-John Perse,1,/wiki/Saint-John_Perse,Literature,Guadeloupe,1887-05-31,Provence France,88,1975-09-20,0.0,,
325,1960,Macfarlane Burnet,1,/wiki/Macfarlane_Burnet,Medicine,Australia,1899-09-03,Victoria Australia,85,1985-08-31,5.0,,
326,1960,Peter Medawar,2,/wiki/Peter_Medawar,Medicine,Brazil,1915-02-28,England,72,1987-10-02,6.0,,
327,1960,Albert Lutuli,1,/wiki/Albert_Lutuli,Peace,Rhodesia,,South Africa,68,1967-07-21,0.0,,
328,1960,Donald A. Glaser,1,/wiki/Donald_A._Glaser,Physics,U.S.,1926-09-21,U.S.,86,2013-02-28,1.0,,
329,1961,Melvin Calvin,1,/wiki/Melvin_Calvin,Chemistry,U.S.,,U.S.,85,1997-01-08,6.0,American,
330,1961,Ivo Andrić,1,/wiki/Ivo_Andri%C4%87,Literature,Austria-Hungary,1892-10-09,SFR Yugoslavia,82,1975-03-13,3.0,Yugoslav,
331,1961,Georg von Békésy,1,/wiki/Georg_von_B%C3%A9k%C3%A9sy,Medicine,Kingdom of Hungary,1899-06-03,U.S.,73,1972-06-13,1.0,,
332,1961,Dag Hammarskjöld,1,/wiki/Dag_Hammarskj%C3%B6ld,Peace,Sweden–Norway,1905-07-29,Zambia,56,1961-09-18,,,
333,1961,Robert Hofstadter,1,/wiki/Robert_Hofstadter,Physics,New York U.S.,1915-02-05,U.S.,75,1990-11-17,2.0,,
334,1961,Rudolf Mössbauer,2,/wiki/Rudolf_M%C3%B6ssbauer,Physics,Munich Germany,1929-01-31,Grünwald Germany,82,2011-09-14,5.0,,
335,1962,Max Perutz,1,/wiki/Max_Perutz,Chemistry,Austria-Hungary,,England,87,2002-02-06,4.0,British,
336,1962,John Kendrew,2,/wiki/John_Kendrew,Chemistry,England,1917-03-24,England,80,1997-08-23,1.0,,
337,1962,John Steinbeck,1,/wiki/John_Steinbeck,Literature,U.S.,1902-02-27,U.S.,66,1968-12-20,1.0,,
338,1962,Francis Crick,1,/wiki/Francis_Crick,Medicine,Northamptonshire England,1916-06-08,California US,88,2004-07-28,9.0,,
339,1962,James Watson,2,/wiki/James_Watson,Medicine,U.S.,1928-04-06,,,,4.0,,
340,1962,Maurice Wilkins,3,/wiki/Maurice_Wilkins,Medicine,New Zealand,1916-12-15,England,87,2004-10-05,1.0,,
341,1962,Linus Pauling,1,/wiki/Linus_Pauling,Peace,U.S.,1901-02-28,California U.S.,93,1994-08-19,11.0,,
342,1962,Lev Landau,1,/wiki/Lev_Landau,Physics,Russian Empire,1908-01-22,Soviet Union,60,1968-04-01,3.0,,
343,1963,Karl Ziegler,1,/wiki/Karl_Ziegler,Chemistry,German Empire,,West Germany,74,1973-08-12,5.0,German,
344,1963,Giulio Natta,2,/wiki/Giulio_Natta,Chemistry,Italy,1903-02-26,Italy,76,1979-05-02,1.0,,
345,1963,Giorgos Seferis,1,/wiki/Giorgos_Seferis,Literature,Ottoman Empire,,Greece,71,1971-09-20,0.0,,
346,1963,John Eccles,1,/wiki/John_Eccles_(neurophysiologist),Medicine,Australia,1903-01-27,Switzerland,94,1997-05-02,5.0,,
347,1963,Alan Hodgkin,2,/wiki/Alan_Hodgkin,Medicine,Oxfordshire England,1914-02-05,England,84,1998-12-20,4.0,English,
348,1963,Andrew Huxley,3,/wiki/Andrew_Huxley,Medicine,London England,1917-11-22,England,94,2012-05-30,7.0,,
349,1963,International Committee of the Red Cross,1,/wiki/International_Committee_of_the_Red_Cross,Peace,,,,,,,,
350,1963,League of Red Cross societies,2,/wiki/International_Federation_of_Red_Cross_and_Red_Crescent_Societies,Peace,,,,,,,,
351,1963,Eugene Wigner,1,/wiki/Eugene_Wigner,Physics,Austria-Hungary,1902-11-17,U.S.,92,1995-01-01,8.0,,
352,1963,Maria Goeppert Mayer,2,/wiki/Maria_Goeppert_Mayer,Physics,German Empire,1906-06-28,U.S.,65,1972-02-20,0.0,,
353,1963,J. Hans D. Jensen,3,/wiki/J._Hans_D._Jensen,Physics,German Empire,1907-06-25,West Germany,65,1973-02-11,0.0,German,
354,1964,Dorothy Hodgkin,1,/wiki/Dorothy_Hodgkin,Chemistry,Egypt,1910-05-12,England,84,1994-07-29,5.0,British,
355,1964,Jean-Paul Sartre,1,/wiki/Jean-Paul_Sartre,Literature,France,1905-06-21,Paris France,74,1980-04-15,0.0,,
356,1964,Konrad Emil Bloch,1,/wiki/Konrad_Emil_Bloch,Medicine,German Empire,,United States,88,2000-10-15,1.0,,
357,1964,Feodor Lynen,2,/wiki/Feodor_Lynen,Medicine,German Empire,,West Germany,68,1979-08-06,0.0,,
358,1964,Martin Luther King Jr.,1,/wiki/Martin_Luther_King_Jr.,Peace,Georgia U.S.,1929-01-15,U.S.,39,1968-04-04,3.0,,
359,1964,Charles H. Townes,1,/wiki/Charles_H._Townes,Physics,US,1915-07-28,U.S.,99,2015-01-27,14.0,,
360,1964,Nikolay Basov,2,/wiki/Nikolay_Basov,Physics,Russian SFSR,1922-12-14,Russia,78,2001-07-01,3.0,,
361,1964,Alexander Prokhorov,3,/wiki/Alexander_Prokhorov,Physics,Australia,1916-07-11,Russia,85,2002-01-08,1.0,,
362,1965,Robert Burns Woodward,1,/wiki/Robert_Burns_Woodward,Chemistry,Massachusetts U.S.,1917-04-10,U.S.,62,1979-07-08,7.0,,
363,1965,Mikhail Sholokhov,1,/wiki/Mikhail_Sholokhov,Literature,Russian Empire,1905-05-24,Soviet Union,78,1984-02-21,2.0,Soviet,
364,1965,François Jacob,1,/wiki/Fran%C3%A7ois_Jacob,Medicine,France,1920-06-17,Paris France,92,2013-04-19,3.0,,
365,1965,André Michel Lwoff,2,/wiki/Andr%C3%A9_Michel_Lwoff,Medicine,France,1902-05-08,Paris France,92,1994-09-30,1.0,,
366,1965,Jacques Monod,3,/wiki/Jacques_Monod,Medicine,Paris France,1910-02-09,France,66,1976-05-31,0.0,,
367,1965,United Nations International Children's Emergency Fund,1,/wiki/UNICEF,Peace,,,,,,,,
368,1965,Shin'ichirō Tomonaga,1,/wiki/Shin%27ichir%C5%8D_Tomonaga,Physics,Japan,1906-03-31,Tokyo Japan,73,1979-07-08,2.0,,
369,1965,Julian Schwinger,2,/wiki/Julian_Schwinger,Physics,U.S.,1918-02-12,U.S.,76,1994-07-16,2.0,,
370,1965,Richard Feynman,3,/wiki/Richard_Feynman,Physics,New York City U.S.,1918-05-11,Los Angeles California U.S.,69,1988-02-15,5.0,,
371,1966,Robert S. Mulliken,1,/wiki/Robert_S._Mulliken,Chemistry,U.S.,1896-06-07,U.S.,90,1986-10-31,3.0,,
372,1966,Shmuel Yosef Agnon,1,/wiki/Shmuel_Yosef_Agnon,Literature,Ukraine,1887-08-08,Jerusalem,82,1970-02-17,0.0,Israeli,
373,1966,Nelly Sachs,2,/wiki/Nelly_Sachs,Literature,German Empire,1891-12-10,Sweden,78,1970-05-12,1.0,"German, Swedish",
374,1966,Francis Peyton Rous,1,/wiki/Francis_Peyton_Rous,Medicine,U.S.,,U.S.,90,1970-02-16,4.0,,
375,1966,Charles Brenton Huggins,2,/wiki/Charles_Brenton_Huggins,Medicine,Canada,1901-09-22,U.S.,95,1997-01-12,2.0,,
376,1966,Alfred Kastler,1,/wiki/Alfred_Kastler,Physics,German Empire,1902-05-03,France,81,1984-01-07,2.0,,
377,1967,Manfred Eigen,1,/wiki/Manfred_Eigen,Chemistry,Germany,1927-05-09,Germany,91,2019-02-06,2.0,German,
378,1967,Ronald George Wreyford Norrish,2,/wiki/Ronald_George_Wreyford_Norrish,Chemistry,Cambridge England,1897-11-09,Cambridge England,80,1978-06-07,3.0,,
379,1967,George Porter,3,/wiki/George_Porter,Chemistry,England,1920-12-06,(aged 81),81,2002-08-31,9.0,,
380,1967,Miguel Ángel Asturias,1,/wiki/Miguel_%C3%81ngel_Asturias,Literature,Guatemala City Guatemala,1899-10-19,Spain,74,1974-06-09,1.0,,
381,1967,Ragnar Granit,1,/wiki/Ragnar_Granit,Medicine,Russian Empire,1900-10-30,Sweden,90,1991-03-12,2.0,,
382,1967,Haldan Keffer Hartline,2,/wiki/Haldan_Keffer_Hartline,Medicine,US,1903-12-22,US,79,1983-03-17,1.0,,
383,1967,George Wald,3,/wiki/George_Wald,Medicine,U.S.,1906-11-18,U.S.,90,1997-04-12,6.0,,
384,1967,Hans Bethe,1,/wiki/Hans_Bethe,Physics,German Empire,1906-07-02,U.S.,98,2005-03-06,10.0,,
385,1968,Lars Onsager,1,/wiki/Lars_Onsager,Chemistry,Norway,1903-11-27,U.S.,72,1976-10-05,5.0,American,
386,1968,Yasunari Kawabata,1,/wiki/Yasunari_Kawabata,Literature,Japan,1899-06-11,Japan,72,1972-04-16,0.0,,
387,1968,Robert W. Holley,1,/wiki/Robert_W._Holley,Medicine,Urbana Illinois,1922-01-28,Los Gatos California,71,1993-02-11,2.0,,
388,1968,Har Gobind Khorana,2,/wiki/Har_Gobind_Khorana,Medicine,British India,1922-01-09,U.S.,89,2011-11-09,3.0,,
