,YEAR,LAUREATE,NAME_ORDER,URL,FIELD,place of birth,born,place of death,age at death,died,other awards,nationality,alma mater
109,1922,Archibald Hill,1,/wiki/Archibald_Hill,Medicine,England,1886-09-26,England,90,1977-06-03,3.0,,
110,1922,Otto Fritz Meyerhof,2,/wiki/Otto_Fritz_Meyerhof,Medicine,German Empire,1884-04-12,United States,67,1951-10-06,0.0,German,
111,1922,Fridtjof Nansen,1,/wiki/Fridtjof_Nansen,Peace,Christiania Norway,1861-10-10,Lysaker Norway,68,1930-05-13,5.0,,
112,1922,Niels Bohr,1,/wiki/Niels_Bohr,Physics,Denmark,1885-10-07,Copenhagen Denmark,77,1962-11-18,9.0,,
113,1923,Fritz Pregl,1,/wiki/Fritz_Pregl,Chemistry,Slovenia),1869-09-03,Austria,61,1930-12-13,1.0,Austria-Hungary,
114,1923,W. B. Yeats,1,/wiki/W._B._Yeats,Literature,13 June 1865,1865-06-13,(aged 73),73,1939-01-28,0.0,,
115,1923,Frederick Banting,1,/wiki/Frederick_Banting,Medicine,Canada,1891-11-14,Dominion of Newfoundland,49,1941-02-21,0.0,,
116,1923,John Macleod,2,/wiki/John_Macleod_(physiologist),Medicine,Scotland,1876-09-06,Scotland,58,1935-03-16,1.0,,
117,1923,Robert Andrews Millikan,1,/wiki/Robert_Andrews_Millikan,Physics,U.S.,1868-03-22,U.S.,85,1953-12-19,8.0,,
118,1924,Władysław Reymont,1,/wiki/W%C5%82adys%C5%82aw_Reymont,Literature,Russian Empire,1867-05-07,Poland,58,1925-12-05,0.0,Polish,
119,1924,Willem Einthoven,1,/wiki/Willem_Einthoven,Medicine,Dutch East Indies,1860-05-21,Netherlands,67,1927-09-29,0.0,Dutch,
120,1924,Manne Siegbahn,1,/wiki/Manne_Siegbahn,Physics,Sweden,1886-12-03,Sweden,91,1978-09-26,6.0,,
121,1925,Richard Adolf Zsigmondy,1,/wiki/Richard_Adolf_Zsigmondy,Chemistry,Austrian Empire,1865-04-01,Germany,64,1929-09-23,0.0,Austrian,
122,1925,George Bernard Shaw,1,/wiki/George_Bernard_Shaw,Literature,Ireland,1856-07-26,Hertfordshire England,94,1950-11-02,,,
123,1925,Austen Chamberlain,1,/wiki/Austen_Chamberlain,Peace,England,1863-10-16,England,73,1937-03-16,,,
124,1925,Charles G. Dawes,2,/wiki/Charles_G._Dawes,Peace,U.S.,1865-08-27,U.S.,85,1951-04-23,,,
125,1925,James Franck,1,/wiki/James_Franck,Physics,German Empire,1882-08-26,West Germany,81,1964-05-21,3.0,,
126,1925,Gustav Ludwig Hertz,2,/wiki/Gustav_Ludwig_Hertz,Physics,German Empire,1887-07-22,East Germany,88,1975-10-30,2.0,,
127,1926,Theodor Svedberg,1,/wiki/Theodor_Svedberg,Chemistry,Sweden,1884-08-30,Sweden,86,1971-02-25,3.0,,
128,1926,Grazia Deledda,1,/wiki/Grazia_Deledda,Literature,Kingdom of Italy,1871-09-27,Kingdom of Italy,64,1936-08-15,0.0,,
129,1926,Johannes Fibiger,1,/wiki/Johannes_Fibiger,Medicine,Denmark,1867-04-23,Denmark,60,1928-01-30,0.0,,
130,1926,Aristide Briand,1,/wiki/Aristide_Briand,Peace,France,1862-03-28,France,69,1932-03-07,,,
131,1926,Gustav Stresemann,2,/wiki/Gustav_Stresemann,Peace,German Empire,1878-05-10,Weimar Republic,51,1929-10-03,0.0,,
132,1926,Jean Baptiste Perrin,1,/wiki/Jean_Baptiste_Perrin,Physics,France,1870-09-30,U.S.,71,1942-04-17,2.0,,
133,1927,Heinrich Otto Wieland,1,/wiki/Heinrich_Otto_Wieland,Chemistry,Germany,1877-06-04,West Germany,80,1957-08-05,4.0,German,
134,1927,Henri Bergson,1,/wiki/Henri_Bergson,Literature,Second French Empire,1859-10-18,German-occupied France,81,1941-01-04,0.0,,
135,1927,Julius Wagner-Jauregg,1,/wiki/Julius_Wagner-Jauregg,Medicine,Austrian Empire,1857-03-07,Nazi Germany,83,1940-09-27,1.0,Austrian,
136,1927,Ferdinand Buisson,1,/wiki/Ferdinand_Buisson,Peace,France,1841-12-20,France],90,1932-02-16,,,
137,1927,Ludwig Quidde,2,/wiki/Ludwig_Quidde,Peace,Free City of Bremen,1858-03-23,Switzerland,82,1941-03-04,,,
138,1927,Arthur Compton,1,/wiki/Arthur_Compton,Physics,U.S.,1892-09-10,U.S.,69,1962-03-15,3.0,,
139,1927,Charles Thomson Rees Wilson,2,/wiki/Charles_Thomson_Rees_Wilson,Physics,Scotland,1869-02-14,Scotland,90,1959-11-15,7.0,,
140,1928,Adolf Windaus,1,/wiki/Adolf_Windaus,Chemistry,German Empire,,West Germany,82,1959-06-09,2.0,German,
141,1928,Sigrid Undset,1,/wiki/Sigrid_Undset,Literature,Denmark,1882-05-20,Norway,67,1949-06-10,0.0,"Norwegian, Danish",
142,1928,Charles Nicolle,1,/wiki/Charles_Nicolle,Medicine,French Empire,1866-09-21,French Tunisia,69,1936-02-28,0.0,,
143,1928,Owen Willans Richardson,1,/wiki/Owen_Willans_Richardson,Physics,England,1879-04-26,England,79,1959-02-15,3.0,,
144,1929,Arthur Harden,1,/wiki/Arthur_Harden,Chemistry,United Kingdom,1865-10-12,England UK,74,1940-06-17,1.0,,
145,1929,Hans von Euler-Chelpin,2,/wiki/Hans_von_Euler-Chelpin,Chemistry,German Empire,1873-02-15,Sweden,91,1964-11-06,0.0,German-Swedish,
146,1929,Thomas Mann,1,/wiki/Thomas_Mann,Literature,German Empire,1875-06-06,Switzerland,80,1955-08-12,1.0,,
147,1929,Christiaan Eijkman,1,/wiki/Christiaan_Eijkman,Medicine,Netherlands,1858-08-11,Netherlands,72,1930-11-05,0.0,Dutch,
148,1929,Frederick Gowland Hopkins,2,/wiki/Frederick_Gowland_Hopkins,Medicine,Sussex England,1861-06-20,England,85,1947-05-16,5.0,,
149,1929,Frank B. Kellogg,1,/wiki/Frank_B._Kellogg,Peace,U.S.,1856-12-22,U.S.,80,1937-12-21,0.0,,
150,1929,Louis de Broglie,1,/wiki/Louis_de_Broglie,Physics,French Third Republic,1892-08-15,France,94,1987-03-19,3.0,,
151,1930,Hans Fischer,1,/wiki/Hans_Fischer,Chemistry,German Empire,1881-07-27,Nazi Germany,63,1945-03-31,2.0,,
152,1930,Sinclair Lewis,1,/wiki/Sinclair_Lewis,Literature,U.S.,1885-02-07,Italy,65,1951-01-10,0.0,,
153,1930,Karl Landsteiner,1,/wiki/Karl_Landsteiner,Medicine,Austria-Hungary,1868-06-14,New York City US,75,1943-06-26,3.0,,
154,1930,Nathan Söderblom,1,/wiki/Nathan_S%C3%B6derblom,Peace,Sweden,1866-01-15,Sweden,65,1931-07-12,,Swedish,
155,1930,C. V. Raman,1,/wiki/C._V._Raman,Physics,British Raj,1888-11-07,India,82,1970-11-21,4.0,,
156,1931,Carl Bosch,1,/wiki/Carl_Bosch,Chemistry,German Empire,1874-08-27,Germany,65,1940-04-26,4.0,,
157,1931,Friedrich Bergius,2,/wiki/Friedrich_Bergius,Chemistry,Poland),1884-10-11,Argentina,64,1949-03-30,2.0,,
158,1931,Erik Axel Karlfeldt,1,/wiki/Erik_Axel_Karlfeldt,Literature,Sweden,1864-07-20,Sweden,66,1931-04-08,0.0,Swedish,
159,1931,Otto Heinrich Warburg,1,/wiki/Otto_Heinrich_Warburg,Medicine,German Empire,1883-10-08,West Germany,86,1970-08-01,3.0,,
160,1931,Jane Addams,1,/wiki/Jane_Addams,Peace,U.S.,1860-09-06,U.S.,74,1935-05-21,0.0,,
161,1931,Nicholas Murray Butler,2,/wiki/Nicholas_Murray_Butler,Peace,U.S.,1862-04-02,New York City New York U.S.,85,1947-12-07,,,
162,1932,Irving Langmuir,1,/wiki/Irving_Langmuir,Chemistry,U.S.,1881-01-31,U.S.,76,1957-08-16,8.0,,
163,1932,John Galsworthy,1,/wiki/John_Galsworthy,Literature,Surrey England,1867-08-14,London England,65,1933-01-31,0.0,,
164,1932,Charles Scott Sherrington,1,/wiki/Charles_Scott_Sherrington,Medicine,United Kingdom of Great Britain and Ireland,1857-11-27,Sussex England United Kingdom,94,1952-03-04,3.0,,
165,1932,Edgar Adrian,2,/wiki/Edgar_Adrian,Medicine,London England,1889-11-30,England,87,1977-08-04,4.0,,
166,1932,Werner Heisenberg,1,/wiki/Werner_Heisenberg,Physics,German Empire,1901-12-05,West Germany,74,1976-02-01,6.0,,
167,1933,Ivan Bunin,1,/wiki/Ivan_Bunin,Literature,Russian Empire,1870-10-22,Paris France,83,1953-11-08,1.0,,
168,1933,Thomas Hunt Morgan,1,/wiki/Thomas_Hunt_Morgan,Medicine,US,1866-09-25,US,79,1945-12-04,3.0,,
169,1933,Norman Angell,1,/wiki/Norman_Angell,Peace,Lincolnshire England,1872-12-26,Surrey England,94,1967-10-07,,,
170,1933,Erwin Schrödinger,1,/wiki/Erwin_Schr%C3%B6dinger,Physics,Austria-Hungary,1887-08-12,Vienna Austria,73,1961-01-04,5.0,,
171,1933,Paul Dirac,2,/wiki/Paul_Dirac,Physics,England,1902-08-08,U.S.,82,1984-10-20,4.0,,
172,1934,Harold Urey,1,/wiki/Harold_Urey,Chemistry,U.S.,1893-04-29,U.S.,87,1981-01-05,10.0,,
173,1934,Luigi Pirandello,1,/wiki/Luigi_Pirandello,Literature,Kingdom of Italy,1867-06-28,Kingdom of Italy,69,1936-12-10,0.0,,
174,1934,George Whipple,1,/wiki/George_Whipple,Medicine,U.S.,1878-08-28,U.S.,97,1976-02-01,0.0,,
175,1934,George Minot,2,/wiki/George_Minot,Medicine,U.S.,1885-12-02,U.S.,64,1950-02-25,2.0,American,
176,1934,William P. Murphy,3,/wiki/William_P._Murphy,Medicine,U.S.,1892-02-06,U.S.,95,1987-10-09,1.0,,
177,1934,Arthur Henderson,1,/wiki/Arthur_Henderson,Peace,Glasgow Scotland,,London England,72,1935-10-20,,,
178,1935,Frédéric Joliot-Curie,1,/wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie,Chemistry,French Third Republic,1900-03-19,French Fourth Republic,58,1958-08-14,3.0,,
179,1935,Irène Joliot-Curie,2,/wiki/Ir%C3%A8ne_Joliot-Curie,Chemistry,French Third Republic,1897-09-12,French Fourth Republic,58,1956-03-17,0.0,,
180,1935,Hans Spemann,1,/wiki/Hans_Spemann,Medicine,Kingdom of Württemberg,1869-06-27,Germany,72,1941-09-09,0.0,German,
181,1935,Carl von Ossietzky,1,/wiki/Carl_von_Ossietzky,Peace,German Empire,1889-10-03,Nazi Germany,48,1938-05-05,0.0,,
182,1935,James Chadwick,1,/wiki/James_Chadwick,Physics,England,1891-10-20,England,82,1974-07-24,7.0,,
183,1936,Peter Debye,1,/wiki/Peter_Debye,Chemistry,Netherlands,1884-03-24,U.S.,82,1966-11-02,8.0,,
184,1936,Eugene O'Neill,1,/wiki/Eugene_O%27Neill,Literature,New York City U.S.,1888-10-16,Massachusetts U.S.,65,1953-11-27,2.0,,
185,1936,Henry Hallett Dale,1,/wiki/Henry_Hallett_Dale,Medicine,England,1875-06-09,England,93,1968-07-23,10.0,,
186,1936,Otto Loewi,2,/wiki/Otto_Loewi,Medicine,German Empire,1873-06-03,U.S.,88,1961-12-25,2.0,,
187,1936,Carlos Saavedra Lamas,1,/wiki/Carlos_Saavedra_Lamas,Peace,Argentina,1878-11-01,Buenos Aires Argentina,80,1959-05-05,0.0,,
188,1936,Victor Francis Hess,1,/wiki/Victor_Francis_Hess,Physics,Austria-Hungary,1883-06-24,U.S.,81,1964-12-17,1.0,,
189,1936,Carl David Anderson,2,/wiki/Carl_David_Anderson,Physics,U.S.,1905-09-03,U.S.,85,1991-01-11,1.0,,
190,1937,Norman Haworth,1,/wiki/Norman_Haworth,Chemistry,Lancashire England,1883-03-19,Worcestershire England,67,1950-03-19,3.0,British,
