YEAR,LAUREATE,NAME_ORDER,URL,FIELD
1950,Kurt Alder,2,/wiki/Kurt_Alder,Chemistry
1950,Bertrand Russell,1,/wiki/Bertrand_Russell,Literature
1950,Philip Showalter Hench,1,/wiki/Philip_Showalter_Hench,Medicine
1950,Edward Calvin Kendall,2,/wiki/Edward_Calvin_Kendall,Medicine
1950,Tadeus Reichstein,3,/wiki/Tadeus_Reichstein,Medicine
1950,Ralph Bunche,1,/wiki/Ralph_Bunche,Peace
1950,C. F. Powell,1,/wiki/C._F._Powell,Physics
1951,Edwin McMillan,1,/wiki/Edwin_McMillan,Chemistry
1951,Glenn T. Seaborg,2,/wiki/Glenn_T._Seaborg,Chemistry
1951,Pär Lagerkvist,1,/wiki/P%C3%A4r_Lagerkvist,Literature
1951,Max Theiler,1,/wiki/Max_Theiler,Medicine
1951,Léon Jouhaux,1,/wiki/L%C3%A9on_Jouhaux,Peace
1951,John Cockcroft,1,/wiki/John_Cockcroft,Physics
1951,Ernest Walton,2,/wiki/Ernest_Walton,Physics
1952,Archer Martin,1,/wiki/Archer_Martin,Chemistry
1952,Richard Laurence Millington Synge,2,/wiki/Richard_Laurence_Millington_Synge,Chemistry
1952,François Mauriac,1,/wiki/Fran%C3%A7ois_Mauriac,Literature
1952,Selman Waksman,1,/wiki/Selman_Waksman,Medicine
1952,Albert Schweitzer,1,/wiki/Albert_Schweitzer,Peace
1952,Felix Bloch,1,/wiki/Felix_Bloch,Physics
1952,Edward Mills Purcell,2,/wiki/Edward_Mills_Purcell,Physics
1953,Hermann Staudinger,1,/wiki/Hermann_Staudinger,Chemistry
1953,Winston Churchill,1,/wiki/Winston_Churchill,Literature
1953,Hans Adolf Krebs,1,/wiki/Hans_Adolf_Krebs,Medicine
1953,Fritz Albert Lipmann,2,/wiki/Fritz_Albert_Lipmann,Medicine
1953,George Marshall,1,/wiki/George_Marshall,Peace
1953,Frits Zernike,1,/wiki/Frits_Zernike,Physics
1954,Linus Pauling,1,/wiki/Linus_Pauling,Chemistry
1954,Ernest Hemingway,1,/wiki/Ernest_Hemingway,Literature
1954,John Franklin Enders,1,/wiki/John_Franklin_Enders,Medicine
1954,Frederick Chapman Robbins,2,/wiki/Frederick_Chapman_Robbins,Medicine
1954,Thomas Huckle Weller,3,/wiki/Thomas_Huckle_Weller,Medicine
1954,United Nations High Commissioner for Refugees,1,/wiki/United_Nations_High_Commissioner_for_Refugees,Peace
1954,Max Born,1,/wiki/Max_Born,Physics
1954,Walther Bothe,2,/wiki/Walther_Bothe,Physics
1955,Vincent du Vigneaud,1,/wiki/Vincent_du_Vigneaud,Chemistry
1955,Halldór Laxness,1,/wiki/Halld%C3%B3r_Laxness,Literature
